uid,from_uid,zoom_range,width_shift_range,height_shift_range,shear_range,vertical_flip,dence_block,dense_activation_0,layer_Neurons_0,dropout_0,dense_activation_1,layer_Neurons_1,dense_activation_2,layer_Neurons_2,learning_rate,loss,val_loss,accuracy,val_accuracy,dropout_1,dropout_2,dense_activation_3,layer_Neurons_3,dense_activation_4,layer_Neurons_4,dense_activation_5,layer_Neurons_5
0,,0,0.05,0.4,0.05,1,3,sigmoid,64,0.5,tanh,96,relu,128,0.001,1.3379116455713909,1.506184180577596,0.37937499086062115,0.2663194437821706,,,,,,,,
1,,0.15000000000000002,0.1,0.35000000000000003,0.05,0,6,tanh,288,0.1,sigmoid,96,tanh,256,0.001,1.3264678319295247,1.5163411696751912,0.3720312515894572,0.26840277512868244,0.45,0,relu,128,relu,128,relu,128
2,,0.45,0.35000000000000003,0.15000000000000002,0.5,0,5,tanh,320,0,tanh,288,sigmoid,128,0.001,1.3495386044184368,1.5336304903030396,0.3971354166666667,0.35902778307596844,0.30000000000000004,,sigmoid,384,relu,448,,
3,,0.2,0.30000000000000004,0.15000000000000002,0,1,4,relu,160,0.1,relu,160,sigmoid,192,0.0001,1.0648479064305623,0.8665141463279724,0.8413541515668234,0.8677083253860474,0.2,,sigmoid,224,,,,
4,,0.2,0.4,0.25,0.30000000000000004,0,4,tanh,416,0.4,sigmoid,352,tanh,416,0.01,1.588926871617635,1.6880335013071697,0.3479166626930237,0.265625,0.45,,sigmoid,480,,,,
5,,0.25,0.35000000000000003,0.1,0.35000000000000003,1,3,relu,416,0.25,sigmoid,448,tanh,480,0.0001,0.6022321184476217,0.4485566516717275,0.8449840346972147,0.8604166507720947,,,,,,,,
6,,0.4,0.5,0.25,0.35000000000000003,1,5,sigmoid,416,0.4,sigmoid,416,relu,448,0.001,1.3510204156239827,1.4839020570119221,0.3734243909517924,0.2708333333333333,0.45,,relu,256,tanh,96,,
7,,0.45,0.45,0.05,0.25,1,6,tanh,288,0.2,tanh,320,relu,192,0.0001,0.6451135873794556,0.5128047168254852,0.8386458357175192,0.8680555621782938,0.05,0.30000000000000004,tanh,224,tanh,320,tanh,384
8,,0.30000000000000004,0.1,0.45,0.1,1,2,relu,32,0.4,tanh,96,,,0.001,1.521220286687215,1.5443577766418457,0.3474999964237213,0.25972222288449603,,,,,,,,
9,,0.1,0.4,0.05,0.25,0,6,tanh,352,0.30000000000000004,tanh,256,tanh,32,0.0001,0.7641210953394572,0.5026141206423441,0.8294270833333334,0.8520833253860474,0.35000000000000003,0.15000000000000002,relu,480,tanh,160,tanh,256
10,,0.2,0.35000000000000003,0.35000000000000003,0.15000000000000002,1,3,sigmoid,256,0.35000000000000003,tanh,192,sigmoid,416,0.0001,0.7479765017827352,0.5484125117460886,0.8493749896685282,0.859375,,,,,,,,
11,,0,0.1,0.45,0.05,0,4,tanh,64,0,relu,288,relu,320,0.0001,0.7347909212112427,0.533301572004954,0.8458854158719381,0.8729166785875956,0.30000000000000004,,tanh,224,,,,
12,,0.15000000000000002,0,0.4,0.2,1,5,relu,96,0.35000000000000003,relu,352,relu,288,0.0001,0.7522217631340027,0.5057278871536255,0.8383854230244955,0.8635416825612386,0,,relu,192,tanh,384,,
13,,0.1,0.15000000000000002,0.35000000000000003,0.35000000000000003,1,2,sigmoid,192,0.25,tanh,96,,,0.0001,0.5807410478591919,0.5295020540555319,0.8444791634877523,0.8642361164093018,,,,,,,,
14,,0.30000000000000004,0.35000000000000003,0.1,0.45,1,3,relu,320,0.15000000000000002,sigmoid,416,tanh,416,0.0001,0.6086708505948385,0.5525846779346466,0.8429166873296102,0.8576388756434122,,,,,,,,
15,,0.5,0.2,0.1,0.1,1,2,tanh,480,0.15000000000000002,sigmoid,192,,,0.0001,0.5758453408877054,0.45833174387613934,0.8409895896911621,0.8597222169240316,,,,,,,,
16,,0.35000000000000003,0.15000000000000002,0.45,0.1,0,6,relu,192,0.2,tanh,384,sigmoid,384,0.001,1.3352306683858235,1.4801946083704631,0.37182291348775226,0.2579861084620158,0.1,0.45,relu,384,relu,384,relu,128
17,,0,0.35000000000000003,0.25,0.45,0,5,sigmoid,352,0.5,relu,320,sigmoid,384,0.01,1.343324859937032,1.504766821861267,0.3699479103088379,0.2684027850627899,0.4,,relu,96,sigmoid,64,,
18,,0.15000000000000002,0.25,0.4,0.25,0,6,sigmoid,224,0.4,tanh,96,relu,352,0.01,1.4598937034606934,1.5117228428522747,0.3735416730244954,0.26458332935969037,0.25,0.2,tanh,64,sigmoid,96,sigmoid,480
19,,0,0.30000000000000004,0.45,0.45,1,5,relu,224,0.30000000000000004,relu,384,tanh,480,0.001,1.3527443806330364,1.4870586395263672,0.3745312492052714,0.2663194437821706,0.35000000000000003,,tanh,384,relu,64,,
20,,0.25,0.25,0.30000000000000004,0.15000000000000002,1,4,relu,480,0.30000000000000004,sigmoid,256,relu,416,0.01,1.5646988948186238,1.6899755398432414,0.34765625,0.2697916626930237,0.45,,tanh,192,,,,
21,,0,0.1,0.4,0.05,1,3,tanh,384,0.4,sigmoid,384,relu,384,0.001,1.3602368434270222,1.4800731738408406,0.3726041615009308,0.27847222487131756,,,,,,,,
22,,0.05,0.15000000000000002,0.25,0.05,0,3,relu,96,0.1,relu,288,relu,416,0.01,614402357.3333334,1.4825719594955444,0.3794791599114736,0.27569443980852765,,,,,,,,
23,,0.05,0.45,0.35000000000000003,0.25,1,3,relu,416,0.30000000000000004,relu,160,tanh,160,0.01,1.6816100279490154,1.6820217768351238,0.34572917222976685,0.2708333333333333,,,,,,,,
24,,0.1,0.15000000000000002,0.2,0.30000000000000004,0,3,sigmoid,160,0.25,relu,384,sigmoid,192,0.001,1.339341163635254,1.5104765892028809,0.37270833055178326,0.2638888855775197,,,,,,,,