uid,from_uid,zoom_range,width_shift_range,height_shift_range,shear_range,vertical_flip,dence_block,num_block,num_filters_0,num_filters_1,num_filters_2,dropout_t_2,num_filters_3,num_filters_4,dropout_t_4,num_filters_5,dense_activation_0,layer_Neurons_0,dropout_0,dense_activation_1,layer_Neurons_1,learning_rate,loss,val_loss,accuracy,val_accuracy,dense_activation_2,layer_Neurons_2,num_filters_6,dropout_t_6,num_filters_7,num_filters_8,dropout_t_8,num_filters_9
0,,0.15000000000000002,0.30000000000000004,0.15000000000000002,0.45,0,2,6,96,96,32,0.25,32,32,0.25,32,relu,416,0.4,relu,128,0.001,1.0279605388641357,0.6357335646947225,0.8267187674840292,0.8430555661519369,,,,,,,,
1,,0.4,0.2,0.05,0.15000000000000002,1,2,3,96,64,64,0.30000000000000004,,,,,sigmoid,512,0.35000000000000003,sigmoid,256,0.001,0.8259307146072388,0.5785797635714213,0.8255729277928671,0.8407985965410868,,,,,,,,
2,,0.5,0.45,0.2,0.30000000000000004,1,3,5,32,128,96,0.30000000000000004,32,64,0,,tanh,32,0.25,sigmoid,480,0.0001,1.050504446029663,0.8169642885526022,0.8284114599227905,0.8472222288449606,relu,128,,,,,,
3,,0.1,0.05,0.15000000000000002,0.15000000000000002,1,2,5,64,128,64,0.45,32,64,0.1,,sigmoid,256,0.05,sigmoid,448,0.01,1.4222067594528198,1.517004410425822,0.36216145753860474,0.2623263895511627,,,,,,,,
4,,0.05,0.35000000000000003,0.25,0,1,3,6,32,96,96,0.05,32,96,0.45,32,tanh,320,0.05,tanh,512,0.0001,0.8167024453481039,0.5545483032862345,0.8152083357175192,0.8366319338480631,tanh,256,,,,,,
5,,0.05,0.35000000000000003,0.15000000000000002,0.45,0,1,4,32,64,96,0.30000000000000004,96,,,,tanh,352,,,,0.001,0.9410423040390015,0.5175182620684305,0.8186458349227905,0.8439235885938009,,,,,,,,
6,,0.05,0.05,0.45,0.25,1,3,6,32,96,96,0.45,96,96,0.45,128,sigmoid,160,0.15000000000000002,tanh,64,0.01,1.3679840564727783,1.550705353418986,0.35268229246139526,0.2607638935248057,tanh,96,,,,,,
7,,0.1,0.5,0.30000000000000004,0.15000000000000002,1,1,6,96,96,64,0.45,96,64,0.4,64,relu,96,,,,0.001,1.019276777903239,0.6992405652999878,0.8264583349227905,0.8442708452542623,,,,,,,,
8,,0.35000000000000003,0.1,0.2,0.15000000000000002,0,3,3,96,96,64,0.1,,,,,tanh,512,0,tanh,480,0.01,1.4695321321487427,1.7432505289713542,0.3449919919172923,0.2595486044883728,sigmoid,384,,,,,,
9,,0.45,0.4,0.5,0.35000000000000003,0,1,2,96,128,,,,,,,sigmoid,32,,,,0.0001,0.9285483558972677,0.8087800145149231,0.8052083452542623,0.806249996026357,,,,,,,,
10,,0,0.4,0.4,0.5,0,1,10,64,96,32,0.30000000000000004,96,32,0.05,64,sigmoid,352,,,,0.0001,1.3057088454564412,1.145762324333191,0.8080729047457377,0.8269097407658895,,,32,0.25,32,32,0.25,32
11,,0,0.1,0.15000000000000002,0.35000000000000003,0,2,3,96,128,128,0.5,,,,,tanh,160,0.15000000000000002,relu,160,0.001,0.7992164293924967,0.5776774287223816,0.8094271024068197,0.8279513915379842,,,,,,,,
12,,0.4,0.45,0.05,0,0,2,8,64,64,32,0.15000000000000002,128,64,0.05,96,tanh,32,0.15000000000000002,sigmoid,512,0.0001,1.1248409350713093,0.8915001749992371,0.8166666626930237,0.8387152751286825,,,96,0.25,32,,,
13,,0.15000000000000002,0.25,0,0.4,1,2,5,32,96,64,0.25,96,32,0.2,,sigmoid,224,0.05,relu,128,0.0001,0.8675551017125448,0.5827074845631918,0.831250011920929,0.8416666587193807,,,,,,,,
14,,0.45,0.2,0.1,0.4,1,1,6,96,96,96,0.45,32,96,0.35000000000000003,64,tanh,384,,,,0.01,1.6437591314315796,1.718299667040507,0.3438020845254262,0.30572917064030963,,,,,,,,
15,,0.45,0.30000000000000004,0.25,0.05,1,3,3,96,32,32,0.5,,,,,relu,160,0.4,relu,288,0.01,3.1310102939605713,1.4874250888824463,0.37242188056310016,0.2638888955116272,relu,192,,,,,,
16,,0,0.25,0.5,0.05,1,3,6,64,96,32,0.2,96,64,0.30000000000000004,64,relu,384,0.45,sigmoid,480,0.01,1.3867200215657551,1.5850112040837605,0.3595312535762787,0.26788193980852765,sigmoid,160,,,,,,
17,,0,0.05,0.1,0.25,1,3,3,64,64,64,0.35000000000000003,,,,,tanh,256,0.4,tanh,480,0.001,1.152130921681722,1.1603632271289825,0.5201041599114736,0.45416667064030963,sigmoid,224,,,,,,
18,,0.30000000000000004,0.05,0.45,0.35000000000000003,1,3,3,96,96,96,0.45,,,,,tanh,64,0.45,relu,384,0.001,1.3260780175526936,1.4757882356643677,0.37588541706403095,0.2690972288449605,sigmoid,32,,,,,,
19,,0.15000000000000002,0.05,0.15000000000000002,0.05,1,1,8,128,64,64,0.4,64,96,0.15000000000000002,64,relu,320,,,,0.001,1.168838381767273,0.9232766032218933,0.8366927107175192,0.8501736124356588,,,64,0.25,96,,,
20,,0.5,0.4,0.15000000000000002,0.5,0,2,6,96,128,96,0.05,64,64,0.4,96,tanh,512,0.45,sigmoid,320,0.0001,0.8983321984608968,0.587129533290863,0.8299739559491476,0.8489583134651184,,,,,,,,
21,,0.05,0.15000000000000002,0.1,0.2,1,3,7,32,64,32,0.35000000000000003,128,64,0.30000000000000004,64,tanh,384,0.2,sigmoid,96,0.0001,1.0177796880404155,0.6572695175806681,0.8208333253860474,0.8348958293596903,relu,416,96,0.1,,,,
22,,0,0.35000000000000003,0.1,0.2,1,2,8,64,64,128,0.2,64,32,0.15000000000000002,128,tanh,128,0.4,relu,384,0.0001,1.156982143719991,0.6692673365275065,0.816015621026357,0.8213541507720947,,,64,0.25,32,,,
23,,0.15000000000000002,0.25,0.45,0.35000000000000003,0,3,5,64,96,96,0.45,32,64,0.2,,sigmoid,256,0.2,tanh,224,0.0001,0.8946616053581238,0.6702559391657511,0.8211197853088379,0.8430555661519369,tanh,512,,,,,,
24,,0.35000000000000003,0.05,0.1,0.1,0,2,8,96,96,32,0.30000000000000004,32,96,0.15000000000000002,96,tanh,96,0.15000000000000002,sigmoid,128,0.0001,1.1956944465637207,0.9965264598528544,0.823828121026357,0.832812507947286,,,128,0.15000000000000002,64,,,